jobtitle,count,percentage
"Accountant I",79,0.3556
"Web Developer II",77,0.3466
"VP Accounting",77,0.3466
"Developer IV",76,0.3421
"Computer Systems Analyst III",76,0.3421
"Programmer Analyst IV",76,0.3421
"Systems Administrator II",74,0.3331
"Software Test Engineer II",74,0.3331
"Accounting Assistant III",72,0.3241
"Computer Systems Analyst IV",72,0.3241
"Web Developer III",71,0.3196
"Financial Analyst",68,0.3061
"Developer II",67,0.3016
"Web Developer IV",66,0.2971
Paralegal,64,0.2881
"Programmer IV",63,0.2836
"Human Resources Manager",63,0.2836
"Quality Engineer",62,0.2791
"Support Staff II",59,0.2656
"Administrative Officer",59,0.2656
"Product Engineer",59,0.2656
"Senior Financial Analyst",59,0.2656
"Content Developer III",54,0.2431
"Content Developer II",54,0.2431
"Design Engineer",54,0.2431
"Content Developer",54,0.2431
"Internal Auditor",52,0.2341
"Media Manager II",49,0.2206
"Analog Circuit Design manager",48,0.2161
"Structural Analysis Engineer",48,0.2161
"Administrative Assistant II",46,0.2071
"Assistant Manager",45,0.2026
"VP Quality Control",43,0.1936
"VP Marketing",42,0.1891
"VP Product Management",41,0.1846
"Senior Attorney",40,0.1801
"Research Assistant",40,0.1801
Attorney,40,0.1801
"Administrative Assistant",40,0.1801
"Executive Assistant",40,0.1801
"Information Systems Manager",35,0.1576
"Web Designer I",34,0.1531
"Staff Scientist",33,0.1486
"General Manager",32,0.1441
"Compensation Analyst",31,0.1396
"Electrical Engineer",31,0.1396
"Community Outreach Specialist",30,0.1350
"Automation Specialist II",30,0.1350
"Automation Specialist I",28,0.1260
Actuary,28,0.1260
"Mechanical Systems Engineer",28,0.1260
"Financial Advisor",28,0.1260
Librarian,27,0.1215
"Payment Adjustment Coordinator",23,0.1035
"Recruiting Manager",22,0.0990
"Automation Specialist IV",21,0.0945
"Support Staff III",20,0.0900
"Legal Assistant",20,0.0900
"Research Assistant III",18,0.0810
"Administrative Assistant III",16,0.0720
"Human Resources Assistant III",15,0.0675
"Human Resources Assistant I",15,0.0675
"Senior Sales Associate",14,0.0630
"Automation Specialist III",13,0.0585
"Web Designer III",13,0.0585
"Human Resources Assistant IV",12,0.0540
"Statistician II",12,0.0540
"Graphic Designer",12,0.0540
"Statistician I",12,0.0540
"Human Resources Assistant II",10,0.0450
"Engineer I",9,0.0405
"Director of Sales",9,0.0405
"Marketing Assistant",8,0.0360
"Web Designer IV",8,0.0360
"Administrative Assistant IV",8,0.0360
"Research Assistant IV",7,0.0315
"Sales Associate",7,0.0315
"Office Assistant I",7,0.0315
"Engineer II",6,0.0270
"VP Sales",6,0.0270
"Business Development Manager",5,0.0225
"Engineer III",5,0.0225
"Sales Representative",5,0.0225
"Statistician III",4,0.0180
"Web Designer II",4,0.0180
"Engineer IV",3,0.0135
"Statistician IV",2,0.0090
"Executive Secretary",2,0.0090
"Account Coordinator",2,0.0090
"Marketing Manager",1,0.0045
"Office Assistant II",1,0.0045
"Associate Professor",1,0.0045
"VP of Training and Development",1,0.0045
"Office Assistant IV",1,0.0045
"Assistant Professor",1,0.0045
