department,jobtitle,gender,count
Engineering,"Research Assistant II",Female,8
Engineering,"Research Assistant II",Male,3
Engineering,"Research Assistant III",Female,4
Engineering,"Research Assistant III",Male,2
Engineering,"Research Assistant IV",Female,3
Engineering,"Research Assistant IV",Male,3
Engineering,"Research Assistant IV",Non-Conforming,1
Engineering,"Research Associate",Female,10
Engineering,"Research Associate",Male,10
Engineering,"Senior Developer",Female,184
Engineering,"Senior Developer",Male,172
Engineering,"Senior Developer",Non-Conforming,5
Engineering,"Senior Financial Analyst",Female,15
Engineering,"Senior Financial Analyst",Male,13
Engineering,"Senior Financial Analyst",Non-Conforming,1
Engineering,"Senior Quality Engineer",Female,17
Engineering,"Senior Quality Engineer",Male,19
Engineering,"Senior Quality Engineer",Non-Conforming,1
Engineering,"Software Consultant",Female,146
Engineering,"Software Consultant",Male,180
Engineering,"Software Consultant",Non-Conforming,10
Engineering,"Software Engineer I",Female,192
Engineering,"Software Engineer I",Male,193
Engineering,"Software Engineer I",Non-Conforming,12
Engineering,"Software Engineer II",Female,37
Engineering,"Software Engineer II",Male,45
Engineering,"Software Engineer II",Non-Conforming,2
Engineering,"Software Engineer III",Female,50
Engineering,"Software Engineer III",Male,49
Engineering,"Software Engineer III",Non-Conforming,1
Engineering,"Software Engineer IV",Female,44
Engineering,"Software Engineer IV",Male,49
Engineering,"Software Engineer IV",Non-Conforming,1
Engineering,"Software Test Engineer I",Female,41
Engineering,"Software Test Engineer I",Male,45
Engineering,"Software Test Engineer I",Non-Conforming,2
Engineering,"Software Test Engineer II",Female,33
Engineering,"Software Test Engineer II",Male,38
Engineering,"Software Test Engineer II",Non-Conforming,3
Engineering,"Software Test Engineer III",Female,43
Engineering,"Software Test Engineer III",Male,43
Engineering,"Software Test Engineer III",Non-Conforming,1
Engineering,"Software Test Engineer IV",Female,39
Engineering,"Software Test Engineer IV",Male,49
Engineering,"Staff Scientist",Female,18
Engineering,"Staff Scientist",Male,13
Engineering,"Staff Scientist",Non-Conforming,2
Engineering,"Statistician I",Female,5
Engineering,"Statistician I",Male,6
Engineering,"Statistician II",Female,7
Engineering,"Statistician II",Male,3
Engineering,"Statistician III",Female,4
Engineering,"Statistician IV",Female,2
Engineering,"Structural Analysis Engineer",Female,15
Engineering,"Structural Analysis Engineer",Male,13
Engineering,"Structural Engineer",Female,12
Engineering,"Structural Engineer",Male,15
Engineering,"Systems Administrator I",Female,162
Engineering,"Systems Administrator I",Male,203
Engineering,"Systems Administrator I",Non-Conforming,9
Engineering,"Systems Administrator II",Female,36
Engineering,"Systems Administrator II",Male,36
Engineering,"Systems Administrator II",Non-Conforming,2
Engineering,"Systems Administrator III",Female,34
Engineering,"Systems Administrator III",Male,48
Engineering,"Systems Administrator III",Non-Conforming,2
Engineering,"Systems Administrator IV",Female,32
Engineering,"Systems Administrator IV",Male,51
Engineering,"Systems Administrator IV",Non-Conforming,5
Engineering,"VP Quality Control",Female,12
Engineering,"VP Quality Control",Male,11
Engineering,"VP Quality Control",Non-Conforming,1
Engineering,"Web Designer I",Female,11
Engineering,"Web Designer I",Male,19
Engineering,"Web Designer II",Male,3
Engineering,"Web Designer II",Non-Conforming,1
Engineering,"Web Designer III",Female,4
Engineering,"Web Designer III",Male,5
Engineering,"Web Designer IV",Female,4
Engineering,"Web Designer IV",Male,4
Engineering,"Web Developer I",Female,44
Engineering,"Web Developer I",Male,51
Engineering,"Web Developer I",Non-Conforming,4
Engineering,"Web Developer II",Female,36
Engineering,"Web Developer II",Male,37
Engineering,"Web Developer II",Non-Conforming,4
Engineering,"Web Developer III",Female,30
Engineering,"Web Developer III",Male,40
Engineering,"Web Developer III",Non-Conforming,1
Engineering,"Web Developer IV",Female,31
Engineering,"Web Developer IV",Male,35
"Human Resources","Compensation Analyst",Female,13
"Human Resources","Compensation Analyst",Male,17
"Human Resources","Compensation Analyst",Non-Conforming,1
"Human Resources","HR Manager",Female,93
"Human Resources","HR Manager",Male,109
"Human Resources","HR Manager",Non-Conforming,2
"Human Resources","Human Resources Analyst",Female,178
"Human Resources","Human Resources Analyst",Male,220
"Human Resources","Human Resources Analyst",Non-Conforming,10
"Human Resources","Human Resources Analyst II",Female,307
"Human Resources","Human Resources Analyst II",Male,291
"Human Resources","Human Resources Analyst II",Non-Conforming,13
"Human Resources","Human Resources Assistant I",Female,4
"Human Resources","Human Resources Assistant I",Male,11
"Human Resources","Human Resources Assistant II",Female,5
"Human Resources","Human Resources Assistant II",Male,5
"Human Resources","Human Resources Assistant III",Female,8
"Human Resources","Human Resources Assistant III",Male,6
"Human Resources","Human Resources Assistant III",Non-Conforming,1
"Human Resources","Human Resources Assistant IV",Female,5
"Human Resources","Human Resources Assistant IV",Male,6
"Human Resources","Human Resources Assistant IV",Non-Conforming,1
"Human Resources","Human Resources Manager",Female,36
"Human Resources","Human Resources Manager",Male,26
"Human Resources","Human Resources Manager",Non-Conforming,1
"Human Resources",Recruiter,Female,115
"Human Resources",Recruiter,Male,114
"Human Resources",Recruiter,Non-Conforming,5
"Human Resources","Senior Recruiter",Female,97
"Human Resources","Senior Recruiter",Male,99
"Human Resources","Senior Recruiter",Non-Conforming,8
Legal,"Administrative Assistant",Female,20
Legal,"Administrative Assistant",Male,19
Legal,"Administrative Assistant",Non-Conforming,1
Legal,Attorney,Female,14
Legal,Attorney,Male,23
Legal,Attorney,Non-Conforming,3
Legal,"Executive Assistant",Female,18
Legal,"Executive Assistant",Male,21
Legal,"Executive Assistant",Non-Conforming,1
Legal,"Legal Assistant",Female,12
Legal,"Legal Assistant",Male,7
Legal,"Legal Assistant",Non-Conforming,1
Legal,Librarian,Female,8
Legal,Librarian,Male,18
Legal,Librarian,Non-Conforming,1
Legal,Paralegal,Female,36
Legal,Paralegal,Male,27
Legal,Paralegal,Non-Conforming,1
Legal,"Research Assistant",Female,14
Legal,"Research Assistant",Male,26
Legal,"Senior Attorney",Female,18
Legal,"Senior Attorney",Male,21
Legal,"Senior Attorney",Non-Conforming,1
Marketing,"Administrative Assistant II",Female,3
Marketing,"Administrative Assistant II",Male,1
Marketing,Editor,Female,46
Marketing,Editor,Male,46
Marketing,"Graphic Designer",Female,9
Marketing,"Graphic Designer",Male,3
Marketing,"Marketing Assistant",Female,4
Marketing,"Marketing Assistant",Male,4
Marketing,"Marketing Manager",Female,1
Marketing,"Media Manager I",Female,58
Marketing,"Media Manager I",Male,69
Marketing,"Media Manager I",Non-Conforming,2
Marketing,"Media Manager II",Female,21
Marketing,"Media Manager II",Male,26
Marketing,"Media Manager II",Non-Conforming,2
Marketing,"Office Assistant I",Female,4
Marketing,"Research Associate",Female,3
Marketing,"Research Associate",Male,1
Marketing,"Senior Editor",Female,66
Marketing,"Senior Editor",Male,74
Marketing,"Senior Editor",Non-Conforming,1
Marketing,"VP Marketing",Female,15
Marketing,"VP Marketing",Male,27
Marketing,"Web Designer I",Female,1
Marketing,"Web Designer I",Male,3
Marketing,"Web Designer III",Female,2
Marketing,"Web Designer III",Male,2
"Product Management","Assistant Manager",Female,12
"Product Management","Assistant Manager",Male,14
"Product Management","Business Analyst",Female,29
"Product Management","Business Analyst",Male,31
"Product Management","Chief Design Engineer",Female,7
"Product Management","Chief Design Engineer",Male,10
"Product Management","Design Engineer",Female,10
"Product Management","Design Engineer",Male,13
"Product Management","General Manager",Female,8
"Product Management","General Manager",Male,12
"Product Management","Product Engineer",Female,11
"Product Management","Product Engineer",Male,14
"Product Management","Project Manager",Female,135
"Product Management","Project Manager",Male,191
"Product Management","Project Manager",Non-Conforming,14
"Product Management","Quality Control Specialist",Female,20
"Product Management","Quality Control Specialist",Male,11
"Product Management","Quality Engineer",Female,9
"Product Management","Quality Engineer",Male,22
"Product Management","Senior Quality Engineer",Female,17
"Product Management","Senior Quality Engineer",Male,10
"Product Management","VP Product Management",Female,19
"Product Management","VP Product Management",Male,21
"Product Management","VP Product Management",Non-Conforming,1
"Research and Development","Administrative Assistant II",Female,1
"Research and Development","Administrative Assistant II",Male,1
"Research and Development","Administrative Assistant III",Male,1
"Research and Development","Assistant Manager",Male,1
"Research and Development","Assistant Manager",Non-Conforming,1
"Research and Development","Assistant Professor",Male,1
"Research and Development","Business Analyst",Female,4
"Research and Development","Chief Design Engineer",Female,2
"Research and Development","Chief Design Engineer",Male,1
"Research and Development","Design Engineer",Female,1
"Research and Development","Design Engineer",Male,1
"Research and Development","Design Engineer",Non-Conforming,1
"Research and Development","Engineer III",Female,1
"Research and Development","Executive Secretary",Female,1
"Research and Development","Executive Secretary",Male,1
"Research and Development","Financial Analyst",Male,1
"Research and Development","General Manager",Non-Conforming,1
"Research and Development","Information Systems Manager",Female,1
"Research and Development","Information Systems Manager",Male,2
"Research and Development","Office Assistant I",Male,3
"Research and Development","Office Assistant II",Non-Conforming,1
"Research and Development","Office Assistant IV",Male,1
"Research and Development",Operator,Female,109
"Research and Development",Operator,Male,92
"Research and Development",Operator,Non-Conforming,9
"Research and Development","Product Engineer",Male,1
"Research and Development","Quality Control Specialist",Female,39
"Research and Development","Quality Control Specialist",Male,33
"Research and Development","Quality Control Specialist",Non-Conforming,3
"Research and Development","Quality Engineer",Female,1
"Research and Development","Quality Engineer",Male,1
"Research and Development","Research Assistant I",Female,107
"Research and Development","Research Assistant I",Male,104
"Research and Development","Research Assistant I",Non-Conforming,3
"Research and Development","Research Associate",Female,82
"Research and Development","Research Associate",Male,84
"Research and Development","Research Associate",Non-Conforming,5
"Research and Development","Senior Quality Engineer",Female,41
"Research and Development","Senior Quality Engineer",Male,46
"Research and Development","Senior Quality Engineer",Non-Conforming,1
"Research and Development","Statistician I",Female,1
"Research and Development","Statistician II",Female,1
"Research and Development","Statistician II",Male,1
"Research and Development","Structural Analysis Engineer",Female,9
"Research and Development","Structural Analysis Engineer",Male,11
"Research and Development","Structural Engineer",Female,103
"Research and Development","Structural Engineer",Male,135
"Research and Development","Structural Engineer",Non-Conforming,14
"Research and Development","VP Quality Control",Female,9
"Research and Development","VP Quality Control",Male,9
"Research and Development","VP Quality Control",Non-Conforming,1
Sales,"Account Coordinator",Male,2
Sales,"Account Executive",Female,258
Sales,"Account Executive",Male,237
Sales,"Account Executive",Non-Conforming,10
Sales,"Account Manager",Female,102
Sales,"Account Manager",Male,107
Sales,"Account Manager",Non-Conforming,5
Sales,"Customer Success Manager",Female,88
Sales,"Customer Success Manager",Male,119
Sales,"Customer Success Manager",Non-Conforming,7
Sales,"Director of Sales",Female,5
Sales,"Director of Sales",Male,3
Sales,"Director of Sales",Non-Conforming,1
Sales,"Pre-Sales Consultant",Female,93
Sales,"Pre-Sales Consultant",Male,116
Sales,"Pre-Sales Consultant",Non-Conforming,5
Sales,"Relationshiop Manager",Female,93
Sales,"Relationshiop Manager",Male,115
Sales,"Relationshiop Manager",Non-Conforming,6
Sales,"Sales Associate",Female,4
Sales,"Sales Associate",Male,3
Sales,"Sales Representative",Female,2
Sales,"Sales Representative",Male,3
Sales,"Senior Sales Associate",Female,5
Sales,"Senior Sales Associate",Male,9
Sales,"Solutions Engineer",Female,86
Sales,"Solutions Engineer",Male,120
Sales,"Solutions Engineer",Non-Conforming,8
Sales,"Solutions Engineer Manager",Female,98
Sales,"Solutions Engineer Manager",Male,112
Sales,"Solutions Engineer Manager",Non-Conforming,4
Sales,"VP Sales",Female,5
Sales,"VP Sales",Non-Conforming,1
Services,"General Manager",Female,7
Services,"General Manager",Male,4
Services,Operator,Female,8
Services,Operator,Male,7
Services,"Research Associate",Female,6
Services,"Research Associate",Male,7
Services,"Service Coordinator",Female,161
Services,"Service Coordinator",Male,163
Services,"Service Coordinator",Non-Conforming,3
Services,"Service Manager",Female,160
Services,"Service Manager",Male,161
Services,"Service Manager",Non-Conforming,6
Services,"Service Tech",Female,154
Services,"Service Tech",Male,162
Services,"Service Tech",Non-Conforming,11
Services,"Service Tech II",Female,147
Services,"Service Tech II",Male,172
Services,"Service Tech II",Non-Conforming,8
Services,"Service Tech III",Female,157
Services,"Service Tech III",Male,177
Services,"Service Tech III",Non-Conforming,5
Support,"Assistant Manager",Female,1
Support,"Automation Specialist I",Female,3
Support,"Automation Specialist I",Male,3
Support,"Automation Specialist I",Non-Conforming,1
Support,"Automation Specialist II",Female,6
Support,"Automation Specialist II",Male,3
Support,"Automation Specialist III",Female,4
Support,"Automation Specialist III",Male,3
Support,"Automation Specialist III",Non-Conforming,1
Support,"Automation Specialist IV",Female,7
Support,"Automation Specialist IV",Male,1
Support,"Automation Specialist IV",Non-Conforming,1
Support,"Community Outreach Specialist",Female,18
Support,"Community Outreach Specialist",Male,11
Support,"Community Outreach Specialist",Non-Conforming,1
Support,"Desktop Support Technician",Female,133
Support,"Desktop Support Technician",Male,172
Support,"Desktop Support Technician",Non-Conforming,16
Support,"Help Desk Operator",Female,50
Support,"Help Desk Operator",Male,39
Support,"Help Desk Operator",Non-Conforming,3
Support,"Help Desk Technician",Female,160
Support,"Help Desk Technician",Male,169
Support,"Help Desk Technician",Non-Conforming,7
Support,"Support Staff",Female,24
Support,"Support Staff",Male,34
Support,"Support Staff",Non-Conforming,4
Support,"Support Staff II",Female,24
Support,"Support Staff II",Male,33
Support,"Support Staff II",Non-Conforming,2
Support,"Support Staff III",Female,7
Support,"Support Staff III",Male,13
Training,"Administrative Assistant I",Female,83
Training,"Administrative Assistant I",Male,98
Training,"Administrative Assistant I",Non-Conforming,2
Training,"Administrative Assistant II",Female,14
Training,"Administrative Assistant II",Male,16
Training,"Assistant Trainer",Female,85
Training,"Assistant Trainer",Male,93
Training,"Assistant Trainer",Non-Conforming,4
Training,"Chief Design Engineer",Male,1
Training,"Content Developer",Female,21
Training,"Content Developer",Male,33
Training,"Content Developer II",Female,20
Training,"Content Developer II",Male,29
Training,"Content Developer II",Non-Conforming,5
Training,"Content Developer III",Female,25
Training,"Content Developer III",Male,27
Training,"Content Developer III",Non-Conforming,2
Training,"Junior Trainer",Female,89
Training,"Junior Trainer",Male,87
Training,"Junior Trainer",Non-Conforming,5
Training,"Senior Trainer",Female,82
Training,"Senior Trainer",Male,95
Training,"Senior Trainer",Non-Conforming,5
Training,"Support Staff",Female,20
Training,"Support Staff",Male,20
Training,"Support Staff",Non-Conforming,2
Training,"Trainer I",Female,93
Training,"Trainer I",Male,78
Training,"Trainer I",Non-Conforming,11
Training,"Trainer II",Female,89
Training,"Trainer II",Male,90
Training,"Trainer II",Non-Conforming,3
Training,"Trainer III",Female,81
Training,"Trainer III",Male,100
Training,"Trainer III",Non-Conforming,1
Training,"Training Manager",Female,87
Training,"Training Manager",Male,90
Training,"Training Manager",Non-Conforming,5
Training,"VP of Training and Development",Male,1
